127.0.0.1 - - [08/Jun/2025:11:42:30 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [08/Jun/2025:11:42:31 +0530] "GET /StudentMangementSystem/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2025:11:42:32 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [08/Jun/2025:11:42:54 +0530] "GET /StudentMangementSystem/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2025:11:42:54 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [08/Jun/2025:11:43:20 +0530] "POST /StudentMangementSystem/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Jun/2025:11:43:20 +0530] "GET /StudentMangementSystem/dashboard.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2025:11:43:26 +0530] "GET /StudentMangementSystem/add_student.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2025:11:43:29 +0530] "POST /StudentMangementSystem/AddStudentServlet HTTP/1.1" 200 602
0:0:0:0:0:0:0:1 - - [08/Jun/2025:11:44:17 +0530] "POST /StudentMangementSystem/AddStudentServlet HTTP/1.1" 200 655
0:0:0:0:0:0:0:1 - - [08/Jun/2025:11:44:23 +0530] "GET /StudentMangementSystem/search_student.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2025:11:44:28 +0530] "GET /StudentMangementSystem/searchStudent?query=ketan+patil HTTP/1.1" 200 523
0:0:0:0:0:0:0:1 - - [08/Jun/2025:11:44:28 +0530] "GET /StudentMangementSystem/style.css HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [08/Jun/2025:11:44:33 +0530] "GET /StudentMangementSystem/ViewStudentsServlet HTTP/1.1" 200 2224
0:0:0:0:0:0:0:1 - - [08/Jun/2025:11:44:33 +0530] "GET /StudentMangementSystem/style.css HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [08/Jun/2025:11:44:46 +0530] "GET /StudentMangementSystem/searchStudent?query=sanjay HTTP/1.1" 200 1499
0:0:0:0:0:0:0:1 - - [08/Jun/2025:11:44:46 +0530] "GET /StudentMangementSystem/style.css HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [08/Jun/2025:11:44:59 +0530] "GET /StudentMangementSystem/ViewStudentsServlet HTTP/1.1" 200 2224
0:0:0:0:0:0:0:1 - - [08/Jun/2025:11:44:59 +0530] "GET /StudentMangementSystem/style.css HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [08/Jun/2025:11:45:14 +0530] "GET /StudentMangementSystem/deleteStudent?id=10 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Jun/2025:11:45:14 +0530] "GET /StudentMangementSystem/ViewStudentsServlet HTTP/1.1" 200 1978
0:0:0:0:0:0:0:1 - - [08/Jun/2025:11:45:14 +0530] "GET /StudentMangementSystem/style.css HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [08/Jun/2025:11:45:19 +0530] "GET /StudentMangementSystem/deleteStudent?id=11 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Jun/2025:11:45:19 +0530] "GET /StudentMangementSystem/ViewStudentsServlet HTTP/1.1" 200 1732
0:0:0:0:0:0:0:1 - - [08/Jun/2025:11:45:19 +0530] "GET /StudentMangementSystem/style.css HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [08/Jun/2025:11:45:23 +0530] "GET /StudentMangementSystem/updateStudent?id=13 HTTP/1.1" 200 603
0:0:0:0:0:0:0:1 - - [08/Jun/2025:11:45:23 +0530] "GET /StudentMangementSystem/style.css HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [08/Jun/2025:11:45:27 +0530] "GET /StudentMangementSystem/ViewStudentsServlet HTTP/1.1" 200 1732
0:0:0:0:0:0:0:1 - - [08/Jun/2025:11:45:27 +0530] "GET /StudentMangementSystem/style.css HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [08/Jun/2025:11:45:57 +0530] "GET /StudentMangementSystem/updateStudent?id=14 HTTP/1.1" 200 598
0:0:0:0:0:0:0:1 - - [08/Jun/2025:11:45:57 +0530] "GET /StudentMangementSystem/style.css HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [08/Jun/2025:11:46:04 +0530] "POST /StudentMangementSystem/updateStudent HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Jun/2025:11:46:04 +0530] "GET /StudentMangementSystem/ViewStudentsServlet HTTP/1.1" 200 1733
0:0:0:0:0:0:0:1 - - [08/Jun/2025:11:46:04 +0530] "GET /StudentMangementSystem/style.css HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [08/Jun/2025:11:46:09 +0530] "GET /StudentMangementSystem/updateStudent?id=14 HTTP/1.1" 200 599
0:0:0:0:0:0:0:1 - - [08/Jun/2025:11:46:09 +0530] "GET /StudentMangementSystem/style.css HTTP/1.1" 404 788
